site;year;month;day;drone_model;N_pictures;acquiStart_hh_mm_ss;acquiEnd_hh_mm_ss;totalSize_Go;;;
Loundoungou;2023;6;2;DJI Mavic 2 Pro;355;10_51_31;12_34_35;4.73;;;
Loundoungou;2023;6;22;DJI Mavic 2 Pro;480;12_08_10;13_33_31;5.99;;;
Loundoungou;2023;7;12;DJI Mavic 2 Pro;480;09_30_21;10_53_11;5.89;;;
Loundoungou;2023;8;2;DJI Mavic 2 Pro;568;08_46_21;12_21_45;7.01;;;
Loundoungou;2023;8;24;DJI Mavic 2 Pro;335;11_40_55;13_55_22;3.94;;;
Loundoungou;2023;9;12;DJI Mavic 2 Pro;466;11_40_59;13_04_38;5.39;;;
Loundoungou;2023;9;23;DJI Mavic 2 Pro;490;10_32_25;11_53_36;5.72;;;
Loundoungou;2023;10;12;DJI Mavic 2 Pro;473;07_48_40;15_25_31;5.12;;;
Loundoungou;2023;10;27;DJI Mavic 2 Pro;356;10_05_41;13_22_23;4.15;;;
Loundoungou;2023;11;23;DJI Mavic 2 Pro;397;09_08_34;10_28_06;4.26;;;
Loundoungou;2023;12;12;DJI Mavic 2 Pro;340;07_18_40;08_39_59;3.05;;;
Loundoungou;2023;12;27;DJI Mavic 2 Pro;356;10_27_40;14_23_54;3.35;;;
Loundoungou;2024;1;16;DJI Mavic 2 Pro;357;10_55_25;12_12_27;3.48;;;
Loundoungou;2024;1;31;DJI Mavic 2 Pro;365;10_45_38;12_03_01;3.08;;;
Loundoungou;2024;2;15;DJI Mavic 2 Pro;411;06_57_42;11_38_47;3.53;;;
Loundoungou;2024;3;5;DJI Mavic 2 Pro;361;09_35_06;11_11_03;3.45;;;
Loundoungou;2024;3;21;DJI Mavic 2 Pro;171;08_51_08;09_36_01;1.27;;;
Loundoungou;2024;4;3;DJI Mavic 2 Pro;428;08_03_25;11_15_28;3.6;;;
Loundoungou;2024;4;18;DJI Mavic 2 Pro;361;09_56_02;11_26_03;3.31;;;
Loundoungou;2024;5;3;DJI Mavic 2 Pro;360;09_56_54;11_23_27;3.22;;;
Loundoungou;2024;5;21;DJI Mavic 2 Pro;357;10_20_36;11_37_59;2.97;;;
Loundoungou;2024;6;20;DJI Mavic 2 Pro;387;10_24_35;11_44_00;4.5;;;
Loundoungou;2024;7;6;DJI Mavic 2 Pro;415;09_58_21;11_34_24;4.92;;;
Loundoungou;2024;7;22;DJI Mavic 2 Pro;204;10_52_50;13_52_25;2.49;;;
Loundoungou;2024;8;6;DJI Mavic 2 Pro;353;12_10_25;14_15_35;4.19;;;
Loundoungou;2024;8;21;DJI Mavic 2 Pro;281;09_09_58;10_10_32;3.42;;;
Loundoungou;2024;9;5;DJI Mavic 2 Pro;381;10_51_55;12_12_15;4.75;;;
Loundoungou;2024;9;20;DJI Mavic 2 Pro;349;09_19_06;11_50_19;4.19;;;
Loundoungou;2024;10;7;DJI Mavic 2 Pro;87;14_40_54;09_46_04;0.96;;;
Loundoungou;2024;10;22;DJI Mavic 2 Pro;428;11_02_38;15_18_14;5.65;;;
Loundoungou;2024;11;7;DJI Mavic 2 Pro;465;14_08_26;15_43_32;5.94;;;
Loundoungou;2024;11;22;DJI Mavic 2 Pro;460;10_22_20;11_44_02;5.38;;;
Luki;2023;4;21;DJI Mavic 2 Pro;944;10_25_46;16_04_02;11.15;;;
Luki;2023;5;4;DJI Mavic 2 Pro;981;11_19_06;12_19_18;12.27;;;
Luki;2023;5;18;DJI Mavic 2 Pro;981;12_09_54;13_04_20;11.29;;;
Luki;2023;6;3;DJI Mavic 2 Pro;974;14_57_12;13_49_04;9.65;;;
Luki;2023;6;16;DJI Mavic 2 Pro;983;14_41_10;14_35_02;10.82;;;
Luki;2023;6;29;DJI Mavic 2 Pro;981;14_56_42;14_39_08;10.88;;;
Luki;2023;7;31;DJI Mavic 2 Pro;982;15_00_44;16_54_52;9.77;;;
Luki;2023;8;11;DJI Mavic 2 Pro;979;13_16_54;11_54_22;11.64;;;
Luki;2023;8;26;DJI Mavic 2 Pro;981;16_04_56;16_42_54;9.98;;;
Luki;2023;9;13;DJI Mavic 2 Pro;846;13_46_48;15_22_50;9.93;;;
Luki;2023;11;1;DJI Mavic 2 Pro;983;14_29_34;13_04_30;12.26;;;
Mbalmayo;2022;7;30;DJI Mavic 2 Pro;517;10_07_43;10_43_53;5.79;;;
Mbalmayo;2022;8;16;DJI Mavic 2 Pro;990;14_37_01;17_03_37;10.79;;;
Mbalmayo;2022;8;30;DJI Mavic 2 Pro;1075;13_38_37;15_02_22;13.76;;;
Mbalmayo;2022;9;17;DJI Mavic 2 Pro;968;14_40_53;16_47_56;11.4;;;
Mbalmayo;2022;10;8;DJI Mavic 2 Pro;468;15_21_13;16_19_26;5.61;;;
Mbalmayo;2022;10;24;DJI Mavic 2 Pro;471;13_58_36;14_58_37;6.65;;;
Mbalmayo;2022;11;8;DJI Mavic 2 Pro;471;14_22_30;15_20_37;5.85;;;
Mbalmayo;2022;11;25;DJI Mavic 2 Pro;628;14_37_47;16_04_09;7.15;;;
Mbalmayo;2022;12;8;DJI Mavic 2 Pro;500;14_54_44;16_12_25;5.96;;;
Mbalmayo;2022;12;23;DJI Mavic 2 Pro;605;14_37_41;16_05_32;7.03;;;
Mbalmayo;2023;1;9;DJI Mavic 2 Pro;445;14_19_36;15_20_16;5.12;;;
Mbalmayo;2023;1;24;DJI Mavic 2 Pro;471;14_24_01;15_36_47;5.37;;;
Mbalmayo;2023;2;8;DJI Mavic 2 Pro;471;14_03_56;15_20_33;5.22;;;
Mbalmayo;2023;2;23;DJI Mavic 2 Pro;490;14_38_17;16_23_57;4.4;;;
Mbalmayo;2023;3;12;DJI Mavic 2 Pro;471;14_31_58;15_49_42;5.43;;;
Mbalmayo;2023;3;27;DJI Mavic 2 Pro;501;15_12_22;17_38_45;5.34;;;
Mbalmayo;2023;4;12;DJI Mavic 2 Pro;471;14_40_13;16_18_01;5.69;;;
Mbalmayo;2023;4;27;DJI Mavic 2 Pro;471;14_37_29;15_47_53;6.05;;;
Mbalmayo;2023;5;12;DJI Mavic 2 Pro;471;13_59_25;15_11_34;6.12;;;
Mbalmayo;2023;5;27;DJI Mavic 2 Pro;471;14_31_47;15_40_14;6.1;;;
Mbalmayo;2023;6;12;DJI Mavic 2 Pro;471;14_01_13;15_01_31;5.97;;;
Mbalmayo;2023;6;27;DJI Mavic 2 Pro;471;15_32_50;16_34_08;6.03;;;
Mbalmayo;2023;7;12;DJI Mavic 2 Pro;471;14_09_27;15_08_16;5.99;;;
Mbalmayo;2023;7;27;DJI Mavic 2 Pro;471;14_57_35;16_00_43;6.15;;;
Mbalmayo;2023;8;11;DJI Mavic 2 Pro;473;14_03_17;15_12_33;5.9;;;
Mbalmayo;2023;8;26;DJI Mavic 2 Pro;630;14_14_49;15_40_56;8.58;;;
Mbalmayo;2023;9;11;DJI Mavic 2 Pro;473;14_01_21;15_33_55;5.4;;;
Mbalmayo;2023;9;26;DJI Mavic 2 Pro;473;14_01_33;15_01_09;5.43;;;
Mbalmayo;2023;10;11;DJI Mavic 2 Pro;558;14_13_03;16_09_08;5.63;;;
Mbalmayo;2023;10;26;DJI Mavic 2 Pro;472;14_19_56;15_18_09;5.47;;;
Mbalmayo;2023;11;11;DJI Mavic 2 Pro;477;14_30_31;15_27_47;5.13;;;
Mbalmayo;2023;11;26;DJI Mavic 2 Pro;603;15_29_40;17_01_33;6.48;;;
Mbalmayo;2023;12;12;DJI Mavic 2 Pro;473;14_02_50;15_14_08;5.45;;;
Mbalmayo;2023;12;27;DJI Mavic 2 Pro;594;14_00_24;15_22_39;6.42;;;
Mbalmayo;2024;1;11;DJI Mavic 2 Pro;472;14_06_15;15_13_30;5.2;;;
Mbalmayo;2024;1;26;DJI Mavic 2 Pro;473;14_03_40;15_11_22;4.85;;;
Mbalmayo;2024;2;12;DJI Mavic 2 Pro;601;14_06_30;15_27_28;6.25;;;
Mbalmayo;2024;2;27;DJI Mavic 2 Pro;446;14_04_32;15_07_35;4.55;;;
Mbalmayo;2024;3;13;DJI Mavic 2 Pro;501;14_00_26;15_18_43;5;;;
Mbalmayo;2024;3;28;DJI Mavic 2 Pro;473;14_01_59;15_07_35;5.07;;;
Mbalmayo;2024;4;13;DJI Mavic 2 Pro;423;15_30_42;16_52_22;4.67;;;
Mbalmayo;2024;4;27;DJI Mavic 2 Pro;473;14_25_00;15_23_33;5.49;;;
Mbalmayo;2024;5;13;DJI Mavic 2 Pro;471;14_37_16;15_38_25;5.48;;;
Mbalmayo;2024;5;27;DJI Mavic 2 Pro;472;14_36_34;15_36_35;5.43;;;
Mbalmayo;2024;6;13;DJI Mavic 2 Pro;473;14_50_25;15_51_12;5.07;;;
Mbalmayo;2024;6;27;DJI Mavic 2 Pro;377;14_26_58;17_09_04;4.06;;;
Mbalmayo;2024;7;12;DJI Mavic 2 Pro;402;14_58_48;15_52_38;4.3;;;
Mbalmayo;2024;7;27;DJI Mavic 2 Pro;475;14_23_01;15_22_43;5.48;;;
Mbalmayo;2024;8;12;DJI Mavic 2 Pro;473;14_43_49;15_45_59;5.54;;;
Mbalmayo;2024;8;27;DJI Mavic 2 Pro;471;14_06_01;15_07_31;5.21;;;
Mbalmayo;2024;9;12;DJI Mavic 2 Pro;472;14_02_05;15_01_07;5.33;;;
Mbalmayo;2024;9;28;DJI Mavic 2 Pro;602;14_10_52;15_38_01;7.13;;;
Mbalmayo;2024;10;14;DJI Mavic 2 Pro;473;14_13_22;15_17_36;5.51;;;
Mbalmayo;2024;10;28;DJI Mavic 2 Pro;473;14_26_24;15_30_26;5.25;;;
Mbalmayo;2024;11;12;DJI Mavic 2 Pro;473;15_21_30;16_26_42;5.18;;;
Mbalmayo;2024;11;27;DJI Mavic 2 Pro;476;15_13_52;16_38_05;5.29;;;
Mbalmayo;2024;12;12;DJI Mavic 2 Pro;473;14_45_11;16_00_05;5.08;;;
Yangambi;2023;10;27;DJI Mavic 2 Pro;336;13_03_28;13_57_24;3.73;;;
Yangambi;2023;11;24;DJI Mavic 2 Pro;361;12_51_10;13_51_24;3.53;;;
Yangambi;2023;12;8;DJI Mavic 2 Pro;361;11_06_44;12_27_24;4.16;;;
Yangambi;2023;12;22;DJI Mavic 2 Pro;360;12_31_40;13_26_36;3.91;;;
Yangambi;2024;1;5;DJI Mavic 2 Pro;360;14_59_58;17_05_48;3.57;;;
Yangambi;2024;1;19;DJI Mavic 2 Pro;361;14_45_34;16_31_44;3.56;;;
Yangambi;2024;2;2;DJI Mavic 2 Pro;360;12_10_32;13_59_18;4.1;;;
Yangambi;2024;2;16;DJI Mavic 2 Pro;363;08_31_46;10_29_44;3.91;;;
Yangambi;2024;3;1;DJI Mavic 2 Pro;360;13_12_30;14_30_42;3.98;;;
Yangambi;2024;3;15;DJI Mavic 2 Pro;360;12_44_44;14_31_04;3.4;;;
Yangambi;2024;3;29;DJI Mavic 2 Pro;360;08_20_38;09_58_34;4.17;;;
Yangambi;2024;4;12;DJI Mavic 2 Pro;360;12_54_06;14_52_26;4.1;;;
Yangambi;2024;4;26;DJI Mavic 2 Pro;364;12_51_10;13_46_38;4.09;;;
Yangambi;2024;5;10;DJI Mavic 2 Pro;487;13_36_58;12_59_20;5.56;;;
Yangambi;2024;6;7;DJI Mavic 2 Pro;361;11_56_26;13_08_24;4.24;;;
Yangambi;2024;6;21;DJI Mavic 2 Pro;358;13_51_12;14_44_32;3.76;;;
Yangambi;2024;7;5;DJI Mini 2;360;11_08_22;12_28_16;1.42;;;
Yangambi;2024;7;5;DJI Mavic 2 Pro;360;11_26_16;13_52_54;2.73;;;
Yangambi;2024;7;19;DJI Mavic 2 Pro;360;13_44_56;14_37_40;3.46;;;
Yangambi;2024;8;3;DJI Mavic 2 Pro;362;13_45_46;14_38_30;2.8;;;
